"","slug_game","medal_type","name","gender","discipline","event","country_code","country_long"
"20769","paris-2024","silver","Jack ROBINSON","M","Surfing","Men","AUS","Australia"
"20770","paris-2024","bronze","Gabriel MEDINA","M","Surfing","Men","BRA","Brazil"
"20771","paris-2024","gold","Caroline MARKS","W","Surfing","Women","USA","United States of America"
"20772","paris-2024","silver","Tatiana WESTON-WEBB","W","Surfing","Women","BRA","Brazil"
"20773","paris-2024","bronze","Johanne DEFAY","W","Surfing","Women","FRA","France"
"20774","paris-2024","gold","Germany","X","Triathlon","Mixed Relay","GER","Germany"
"20775","paris-2024","silver","United States of America","X","Triathlon","Mixed Relay","USA","United States of America"
"20776","paris-2024","bronze","Great Britain","X","Triathlon","Mixed Relay","GBR","Great Britain"
"20777","paris-2024","gold","Cole HOCKER","M","Athletics","Men's 1500m","USA","United States of America"
"20778","paris-2024","silver","Josh KERR","M","Athletics","Men's 1500m","GBR","Great Britain"
"20779","paris-2024","bronze","Yared NUGUSE","M","Athletics","Men's 1500m","USA","United States of America"
"20780","paris-2024","gold","Miltiadis TENTOGLOU","M","Athletics","Men's Long Jump","GRE","Greece"
"20781","paris-2024","silver","Wayne PINNOCK","M","Athletics","Men's Long Jump","JAM","Jamaica"
"20782","paris-2024","bronze","Mattia FURLANI","M","Athletics","Men's Long Jump","ITA","Italy"
"20783","paris-2024","gold","Gabrielle THOMAS","W","Athletics","Women's 200m","USA","United States of America"
"20784","paris-2024","silver","Julien ALFRED","W","Athletics","Women's 200m","LCA","Saint Lucia"
"20785","paris-2024","bronze","Brittany BROWN","W","Athletics","Women's 200m","USA","United States of America"
"20786","paris-2024","gold","Winfred YAVI","W","Athletics","Women's 3000m Steeplechase","BRN","Bahrain"
"20787","paris-2024","silver","Peruth CHEMUTAI","W","Athletics","Women's 3000m Steeplechase","UGA","Uganda"
"20788","paris-2024","bronze","Faith CHEROTICH","W","Athletics","Women's 3000m Steeplechase","KEN","Kenya"
"20789","paris-2024","gold","Camryn ROGERS","W","Athletics","Women's Hammer Throw","CAN","Canada"
"20790","paris-2024","silver","Annette Nneka ECHIKUNWOKE","W","Athletics","Women's Hammer Throw","USA","United States of America"
"20791","paris-2024","bronze","ZHAO Jie","W","Athletics","Women's Hammer Throw","CHN","People's Republic of China"
"20792","paris-2024","bronze","Omari JONES","M","Boxing","Men's 71kg","USA","United States of America"
"20793","paris-2024","bronze","Lewis RICHARDSON","M","Boxing","Men's 71kg","GBR","Great Britain"
"20794","paris-2024","bronze","Nazym KYZAIBAY","W","Boxing","Women's 50kg","KAZ","Kazakhstan"
"20795","paris-2024","bronze","Aira VILLEGAS","W","Boxing","Women's 50kg","PHI","Philippines"
"20796","paris-2024","gold","Kellie HARRINGTON","W","Boxing","Women's 60kg","IRL","Ireland"
"20797","paris-2024","silver","YANG Wenlu","W","Boxing","Women's 60kg","CHN","People's Republic of China"
"20798","paris-2024","bronze","Janjaem SUWANNAPHENG","W","Boxing","Women's 66kg","THA","Thailand"
"20799","paris-2024","bronze","CHEN Nien Chin","W","Boxing","Women's 66kg","TPE","Chinese Taipei"
"20800","paris-2024","gold","Netherlands","M","Cycling Track","Men's Team Sprint","NED","Netherlands"
"20801","paris-2024","silver","Great Britain","M","Cycling Track","Men's Team Sprint","GBR","Great Britain"
"20802","paris-2024","bronze","Australia","M","Cycling Track","Men's Team Sprint","AUS","Australia"
"20803","paris-2024","gold","QUAN Hongchan","W","Diving","Women's 10m Platform","CHN","People's Republic of China"
"20804","paris-2024","silver","CHEN Yuxi","W","Diving","Women's 10m Platform","CHN","People's Republic of China"
"20805","paris-2024","bronze","KIM Mi Rae","W","Diving","Women's 10m Platform","PRK","Democratic People's Republic of Korea"
"20806","paris-2024","gold","Christian KUKUK","O","Equestrian","Jumping Individual","GER","Germany"
"20807","paris-2024","silver","Steve GUERDAT","O","Equestrian","Jumping Individual","SUI","Switzerland"
"20808","paris-2024","bronze","Maikel van der VLEUTEN","O","Equestrian","Jumping Individual","NED","Netherlands"
"20809","paris-2024","gold","Arisa TREW","W","Skateboarding","Women's Park","AUS","Australia"
"20810","paris-2024","silver","HIRAKI Cocona","W","Skateboarding","Women's Park","JPN","Japan"
"20811","paris-2024","bronze","Sky BROWN","W","Skateboarding","Women's Park","GBR","Great Britain"
"20812","paris-2024","gold","Mijain LOPEZ NUNEZ","M","Wrestling","Men's Greco-Roman 130kg","CUB","Cuba"
"20813","paris-2024","silver","Yasmani ACOSTA FERNANDEZ","M","Wrestling","Men's Greco-Roman 130kg","CHI","Chile"
"20814","paris-2024","bronze","Amin MIRZAZADEH","M","Wrestling","Men's Greco-Roman 130kg","IRI","Islamic Republic of Iran"
"20815","paris-2024","bronze","MENG Lingzhe","M","Wrestling","Men's Greco-Roman 130kg","CHN","People's Republic of China"
"20816","paris-2024","gold","FUMITA Kenichiro","M","Wrestling","Men's Greco-Roman 60kg","JPN","Japan"
"20817","paris-2024","silver","CAO Liguo","M","Wrestling","Men's Greco-Roman 60kg","CHN","People's Republic of China"
"20818","paris-2024","bronze","Zholaman SHARSHENBEKOV","M","Wrestling","Men's Greco-Roman 60kg","KGZ","Kyrgyzstan"
"20819","paris-2024","bronze","RI Se Ung","M","Wrestling","Men's Greco-Roman 60kg","PRK","Democratic People's Republic of Korea"
"20820","paris-2024","gold","Amit ELOR","W","Wrestling","Women's Freestyle 68kg","USA","United States of America"
"20821","paris-2024","silver","Meerim ZHUMANAZAROVA","W","Wrestling","Women's Freestyle 68kg","KGZ","Kyrgyzstan"
"20822","paris-2024","bronze","Buse CAVUSOGLU TOSUN","W","Wrestling","Women's Freestyle 68kg","TUR","Türkiye"
"20823","paris-2024","bronze","OZAKI Nonoka","W","Wrestling","Women's Freestyle 68kg","JPN","Japan"
"20824","paris-2024","gold","People's Republic of China","O","Artistic Swimming","Team","CHN","People's Republic of China"
"20825","paris-2024","silver","United States of America","O","Artistic Swimming","Team","USA","United States of America"
"20826","paris-2024","bronze","Spain","O","Artistic Swimming","Team","ESP","Spain"
"20827","paris-2024","gold","Spain","X","Athletics","Marathon Race Walk Relay Mixed","ESP","Spain"
"20828","paris-2024","silver","Ecuador","X","Athletics","Marathon Race Walk Relay Mixed","ECU","Ecuador"
"20829","paris-2024","bronze","Australia","X","Athletics","Marathon Race Walk Relay Mixed","AUS","Australia"
"20830","paris-2024","gold","Soufiane EL BAKKALI","M","Athletics","Men's 3000m Steeplechase","MAR","Morocco"
"20831","paris-2024","silver","Kenneth ROOKS","M","Athletics","Men's 3000m Steeplechase","USA","United States of America"
"20832","paris-2024","bronze","Abraham KIBIWOT","M","Athletics","Men's 3000m Steeplechase","KEN","Kenya"
"20833","paris-2024","gold","Quincy HALL","M","Athletics","Men's 400m","USA","United States of America"
"20834","paris-2024","silver","Matthew HUDSON-SMITH","M","Athletics","Men's 400m","GBR","Great Britain"
"20835","paris-2024","bronze","Muzala SAMUKONGA","M","Athletics","Men's 400m","ZAM","Zambia"
"20836","paris-2024","gold","Roje STONA","M","Athletics","Men's Discus Throw","JAM","Jamaica"
"20837","paris-2024","silver","Mykolas ALEKNA","M","Athletics","Men's Discus Throw","LTU","Lithuania"
"20838","paris-2024","bronze","Matthew DENNY","M","Athletics","Men's Discus Throw","AUS","Australia"
"20839","paris-2024","gold","Nina KENNEDY","W","Athletics","Women's Pole Vault","AUS","Australia"
"20840","paris-2024","silver","Katie MOON","W","Athletics","Women's Pole Vault","USA","United States of America"
"20841","paris-2024","bronze","Alysha NEWMAN","W","Athletics","Women's Pole Vault","CAN","Canada"
"20842","paris-2024","bronze","Nelvie Raman TIAFACK","M","Boxing","Men's +92kg","GER","Germany"
"20843","paris-2024","bronze","Djamili-Dini ABOUDOU MOINDZE","M","Boxing","Men's +92kg","FRA","France"
"20844","paris-2024","gold","Erislandy ALVAREZ BORGES","M","Boxing","Men's 63.5kg","CUB","Cuba"
"20845","paris-2024","silver","Sofiane OUMIHA","M","Boxing","Men's 63.5kg","FRA","France"
"20846","paris-2024","gold","Oleksandr KHYZHNIAK","M","Boxing","Men's 80kg","UKR","Ukraine"
"20847","paris-2024","silver","Nurbek ORALBAY","M","Boxing","Men's 80kg","KAZ","Kazakhstan"
"20848","paris-2024","bronze","Esra YILDIZ KAHRAMAN","W","Boxing","Women's 57kg","TUR","Türkiye"
"20849","paris-2024","bronze","Nesthy PETECIO","W","Boxing","Women's 57kg","PHI","Philippines"
"20850","paris-2024","gold","Australia","M","Cycling Track","Men's Team Pursuit","AUS","Australia"
"20851","paris-2024","silver","Great Britain","M","Cycling Track","Men's Team Pursuit","GBR","Great Britain"
"20852","paris-2024","bronze","Italy","M","Cycling Track","Men's Team Pursuit","ITA","Italy"
"20853","paris-2024","gold","United States of America","W","Cycling Track","Women's Team Pursuit","USA","United States of America"
"20854","paris-2024","silver","New Zealand","W","Cycling Track","Women's Team Pursuit","NZL","New Zealand"
"20855","paris-2024","bronze","Great Britain","W","Cycling Track","Women's Team Pursuit","GBR","Great Britain"
"20856","paris-2024","gold","Matt WEARN","M","Sailing","Men's Dinghy","AUS","Australia"
"20857","paris-2024","silver","Pavlos KONTIDES","M","Sailing","Men's Dinghy","CYP","Cyprus"
"20858","paris-2024","bronze","Stefano PESCHIERA","M","Sailing","Men's Dinghy","PER","Peru"
"20859","paris-2024","gold","Marit BOUWMEESTER","W","Sailing","Women's Dinghy","NED","Netherlands"
"20860","paris-2024","silver","Anne-Marie RINDOM","W","Sailing","Women's Dinghy","DEN","Denmark"
"20861","paris-2024","bronze","Line Flem HOEST","W","Sailing","Women's Dinghy","NOR","Norway"
"20862","paris-2024","gold","Keegan PALMER","M","Skateboarding","Men's Park","AUS","Australia"
"20863","paris-2024","silver","Tom SCHAAR","M","Skateboarding","Men's Park","USA","United States of America"
"20864","paris-2024","bronze","Augusto AKIO","M","Skateboarding","Men's Park","BRA","Brazil"
"20865","paris-2024","gold","Aleksandra MIROSLAW","W","Sport Climbing","Women's Speed","POL","Poland"
"20866","paris-2024","silver","DENG Lijuan","W","Sport Climbing","Women's Speed","CHN","People's Republic of China"
"20867","paris-2024","bronze","Aleksandra KALUCKA","W","Sport Climbing","Women's Speed","POL","Poland"
"20868","paris-2024","gold","PARK Taejoon","M","Taekwondo","Men -58kg","KOR","Republic of Korea"
"20869","paris-2024","silver","Gashim MAGOMEDOV","M","Taekwondo","Men -58kg","AZE","Azerbaijan"
"20870","paris-2024","bronze","Cyrian RAVET","M","Taekwondo","Men -58kg","FRA","France"
"20871","paris-2024","bronze","Mohamed Khalil JENDOUBI","M","Taekwondo","Men -58kg","TUN","Tunisia"
"20872","paris-2024","gold","Panipak WONGPATTANAKIT","W","Taekwondo","Women -49kg","THA","Thailand"
"20873","paris-2024","silver","GUO Qing","W","Taekwondo","Women -49kg","CHN","People's Republic of China"
"20874","paris-2024","bronze","Mobina NEMATZADEH","W","Taekwondo","Women -49kg","IRI","Islamic Republic of Iran"
"20875","paris-2024","bronze","Lena STOJKOVIC","W","Taekwondo","Women -49kg","CRO","Croatia"
